Index,Person in charge,Model name,Source code description,Model figure,Source code URL,Impact of the model proposed,Dataset Name,Dataset description,Dataset URL link,Paper citation,Paper pdf URL
11,Junru Lu,NapSS Narrative Prompting and Sentencematching Summarization,"We propose a summarize-then-simplify two-stage strategy, which we call NapSS, identifying the relevant content to simplify while ensuring that the original narrative flow is preserved. In this approach, we first generate reference summaries via sentence matching between the original and the simplified abstracts.  Then, to ensure the narrative consistency of the simplified text, we synthesize auxiliary narrative prompts combining key phrases derived from the syntactical analyses of the original text.",,https://github.com/LuJunru/NapSS,10 citations,NapSS Dataset,"Napss conducted a manual evaluation of the outputs generated by the simplification models to provide additional insights into simplicity, fluency and factuality. Total 200 instances evaluated by 6 trained annotators and 2 domain expert annotators.",https://doi.org/10.5281/zenodo.7690014,"@article{lu2023napss,
  title={NapSS: Paragraph-level Medical Text Simplification via Narrative Prompting and Sentence-matching Summarization},
  author={Lu, Junru and Li, Jiazheng and Wallace, Byron C and He, Yulan and Pergola, Gabriele},
  journal={arXiv preprint arXiv:2302.05574},
  year={2023}
}",https://arxiv.org/abs/2302.05574
12,Zhaoyue Sun,PHEE,"The repository contains the source codes and dataset for the paper: ""PHEE: A Dataset for Pharmacovigilance Event Extraction from Text"".  The code includes the implementation of event extraction baselines on the PHEE dataset, i.e., a sequence labelling model, an extractive QA model and a generative QA model.",,https://github.com/ZhaoyueSun/PHEE,"2 citations, 8 stars, 2 forks.",PHEE Dataset,"The PHEE dataset contains over 5,000 finely annotated pharmacovigilance events from public medical case reports. Two types of events, the adverse events and the potential therapeutic events, are annotated. For each event, we annotate the event trigger and hierarchical arguments.  The main arguments (coarse-grained spans) include subject, treatment and effect. Further fine-grained sub-arguments - age, gender, race, number of patients (labelled as population) and preexisting conditions (labelled as subject.disorder) for the subject argument and drug (and their combinations), dosage, frequency, route, time-elapsed, duration, target disorder (labelled as treatment.disorder) for the treatment argument - are then annotated upon main arguments.",https://doi.org/10.5281/zenodo.7689970,"@article{sun2022phee,
  title={PHEE: A Dataset for Pharmacovigilance Event Extraction from Text},
  author={Sun, Zhaoyue and Li, Jiazheng and Pergola, Gabriele and Wallace, Byron C and John, Bino and Greene, Nigel and Kim, Joseph and He, Yulan},
  journal={arXiv preprint arXiv:2210.12560},
  year={2022}
}",https://arxiv.org/pdf/2210.12560.pdf
13,Jiazheng Li,CUE PLM-based Classifier Uncertainty Interpretation framework,"
A PLM-based text classifier uncertainty interpretation framework based on a variational autoencoder to estimate and interpret the source of the uncertainty at the token level.",,https://github.com/lijiazheng99/CUE,"2 citations, 8 stars",,,,"@inproceedings{
li2023cue,
title={{CUE}: An Uncertainty Interpretation Framework for Text Classifiers Built on Pre-Trained Language Models},
author={Jiazheng Li and ZHAOYUE SUN and Bin Liang and Lin Gui and Yulan He},
booktitle={The 39th Conference on Uncertainty in Artificial Intelligence},
year={2023},
url={https://openreview.net/forum?id=1G_WUgM1pnm}
}",https://openreview.net/pdf?id=1G_WUgM1pnm
14,Jiazheng Li,AERA Automated Explainable Student Response Assessment Framework,"
A rationale generation framework that ultizes LLM's few-shot capabilities on providing explainable assessment feedbacks on student answers data.",,https://github.com/lijiazheng99/aera,3 citations,,,,"@inproceedings{li-etal-2023-distilling,
    title = ""Distilling {C}hat{GPT} for Explainable Automated Student Answer Assessment"",
    author = ""Li, Jiazheng  and
      Gui, Lin  and
      Zhou, Yuxiang  and
      West, David  and
      Aloisi, Cesare  and
      He, Yulan"",
    editor = ""Bouamor, Houda  and
      Pino, Juan  and
      Bali, Kalika"",
    booktitle = ""Findings of the Association for Computational Linguistics: EMNLP 2023"",
    month = dec,
    year = ""2023"",
    address = ""Singapore"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2023.findings-emnlp.399"",
    doi = ""10.18653/v1/2023.findings-emnlp.399"",
    pages = ""6007--6026"",
}",https://aclanthology.org/2023.findings-emnlp.399.pdf
15,Jiazheng Li,OverPrompt ,"OverPrompt is a prompting technique that leverages the in-context learning capability of LLMs to handle multiple task inputs, thereby reducing token and time costs for each query. ",,https://github.com/lijiazheng99/OverPrompt,5 citations,,,,"@inproceedings{
li2023overprompt,
title={OverPrompt: Enhancing Chat{GPT} through Efficient In-Context Learning},
author={Jiazheng Li and Runcong Zhao and Yongxin Yang and Yulan He and Lin Gui},
booktitle={R0-FoMo:Robustness of Few-shot and Zero-shot Learning in Large Foundation Models},
year={2023},
url={https://openreview.net/forum?id=7jmtHtv9Ch}
}",https://openreview.net/pdf?id=7jmtHtv9Ch
16,Jiazheng Li,Thought Tree Guided Rationale Generation Framework,We propose a novel framework capable of generating more faithful rationales by mimicking the human assessment process by querying LLMs to generate a thought tree. We then summarise intermediate assessment decisions from each thought tree path for creating synthetic rationale data and rationale preference data.,,https://github.com/lijiazheng99/thought_tree_assessment,5 citations,,,,"@misc{li2024thoughttree,
        title={Calibrating LLMs with Preference Optimization on Thought Trees for Generating Rationale in Science Question Scoring}, 
        author={Jiazheng Li and Hainiu Xu and Zhaoyue Sun and Yuxiang Zhou and David West and Cesare Aloisi and Yulan He},
        year={2024},
        eprint={2406.19949},
        archivePrefix={arXiv},
        primaryClass={cs.CL},
        url={https://arxiv.org/abs/2406.19949}, 
  }",https://aclanthology.org/2024.findings-emnlp.313.pdf 
17,Hainiu Xu,OpenToM -- Theory-of-Mind Benchmark Dataset,"
A benchmark for evaluating LLMs' theory-of-mind capabilities in reasoning about the physical as well as the psychological world from a character-centric perspective.

",,https://github.com/seacowx/OpenToM,"28 citations, 21 stars, 2 fork",OpenToM -- Thoery-of-Mind benchmarks,"
The dataset contains 696 narratives (100 of which are long narratives) depicting a simple scene in real life. Each narrative is accompanied by 23 first-order and second-order theory-of-mind questions. In total, there are 13,708 questions.  ",https://huggingface.co/datasets/SeacowX/OpenToM,"@inproceedings{xu-etal-2024-opentom,
    title = ""{O}pen{T}o{M}: A Comprehensive Benchmark for Evaluating Theory-of-Mind Reasoning Capabilities of Large Language Models"",
    author = ""Xu, Hainiu  and
      Zhao, Runcong  and
      Zhu, Lixing  and
      Du, Jinhua  and
      He, Yulan"",
    editor = ""Ku, Lun-Wei  and
      Martins, Andre  and
      Srikumar, Vivek"",
    booktitle = ""Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)"",
    month = aug,
    year = ""2024"",
    address = ""Bangkok, Thailand"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2024.acl-long.466/"",
    doi = ""10.18653/v1/2024.acl-long.466"",
    pages = ""8593--8623"",
    abstract = ""Neural Theory-of-Mind (N-ToM), machine`s ability to understand and keep track of the mental states of others, is pivotal in developing socially intelligent agents. However, prevalent N-ToM benchmarks have several shortcomings, including the presence of ambiguous and artificial narratives, absence of personality traits and preferences, a lack of questions addressing characters' psychological mental states, and limited diversity in the questions posed. In response to these issues, we construct OpenToM, a new benchmark for assessing N-ToM with (1) longer and clearer narrative stories, (2) characters with explicit personality traits, (3) actions that are triggered by character intentions, and (4) questions designed to challenge LLMs' capabilities of modeling characters' mental states of both the physical and psychological world. Using OpenToM, we reveal that state-of-the-art LLMs thrive at modeling certain aspects of mental states in the physical world but fall short when tracking characters' mental states in the psychological world.""
}",https://arxiv.org/pdf/2402.06044.pdf
18,Runcong Zhao,Conan,"Source code for ""Large Language Models Fall Short: Understanding Complex Relationships in Detective Narratives""",,https://github.com/BLPXSPG/Conan,"0 citation, 0 star, 0 fork",Conan,role-oriented relationships from the perspectives of various characters,https://github.com/BLPXSPG/Conan,"@article{zhao2024conan,
            title={Large Language Models Fall Short: Understanding Complex Relationships in Detective Narratives},
            author={Zhao, Runcong and Zhu, Qinglin and Xu, Hainiu and Li, Jiazheng and Zhou, Yuxiang and He, Yulan and Gui, Lin},
            journal={arXiv preprint arXiv:2402.11051},
            year={2024}
            }",https://arxiv.org/abs/2402.11051
19,Junru Lu,MemoChat,"MemoChat: Tuning LLMs to Use Memos for Consistent Long-Range Open-Domain Conversation

We propose MemoChat, a pipeline for refining instructions that enables large language models (LLMs) to effectively employ self-composed memos for maintaining consistent long-range open-domain conversations. The repository is under MIT license.",,https://github.com/LuJunru/MemoChat,4 citations,MemoChat Dataset,"insturction tuning data constructed from public data, as well as small human-annotated testing set, can be found in source codes",https://github.com/LuJunru/MemoChat/tree/main/data,"@misc{lu2023memochat,
      title={MemoChat: Tuning LLMs to Use Memos for Consistent Long-Range Open-Domain Conversation}, 
      author={Junru Lu and Siyu An and Mingbao Lin and Gabriele Pergola and Yulan He and Di Yin and Xing Sun and Yunsheng Wu},
      year={2023},
      eprint={2308.08239},
      archivePrefix={arXiv},
      primaryClass={cs.CL}
}",https://arxiv.org/abs/2308.08239
20,Junru Lu,"FIPO: Free-form Instruction-oriented Prompt Optimization with Preference Dataset and Modular Fine-tuning Schema
","
We present Free-form Instruction-oriented Prompt Optimization (FIPO). This approach is supported by our large-scale prompt preference dataset and employs a modular fine-tuning schema, for effective prompt optimization. The repository is under MIT license.",,https://github.com/LuJunru/FIPO_Project,0 citations,FIPO Dataset,30k preference samples for Automatic Prompt Optimization,https://huggingface.co/datasets/Junrulu/Prompt_Preference_Dataset,"@misc{lu2024fipo,
      title={FIPO: Free-form Instruction-oriented Prompt Optimization with Preference Dataset and Modular Fine-tuning Schema}, 
      author={Junru Lu and Siyu An and Min Zhang and Yulan He and Di Yin and Xing Sun},
      year={2024},
      eprint={2402.11811},
      archivePrefix={arXiv},
      primaryClass={cs.CL}
}",https://arxiv.org/abs/2402.11811
21,Itao Da Silva,Challenges in the Evaluation of the Causal Event Extraction Task,"Sourcce code and data for ""Challenges in the Evaluation of the Causal Event Extraction Task""",,https://github.com/oyarsa/event_extraction,,Challenges in the Evaluation of the Causal Event Extraction Task,Synthetic data based on the Fine-grained Causal Relations dataset for training entailment models.,https://github.com/oyarsa/event_extraction,,
22,Jun Wang,CAMANet,"CAMANet: Class Activation Map Guided Attention Network

A model which explicitly promotes cross-modal alignment by employing aggregated class activation maps to supervise cross-modal attention learning, and simultaneously enrich the discriminative information for radiology report generation. ",,https://github.com/Markin-Wang/CAMANet,"4 citations, 3 stars",,,,"@article{wang2024camanet,
  title={CAMANet: class activation map guided attention network for radiology report generation},
  author={Wang, Jun and Bhalerao, Abhir and Yin, Terry and See, Simon and He, Yulan},
  journal={IEEE Journal of Biomedical and Health Informatics},
  year={2024},
  publisher={IEEE}
}",https://ieeexplore.ieee.org/abstract/document/10400776
23,Xinyu Wang,"Proxy
Nodes Clustering Network (ProCNet)","Code for the paper: ""Document-Level Multi-Event Extraction with Event Proxy Nodes and Hausdorff Distance Minimization""

An approach for document-level multi-event extraction with event proxy nodes and Hausdorff distance minimization. The event proxy nodes, representing pseudo-events, are able to build connections with other event proxy nodes, essentially capturing global information. The Hausdorff distance makes it possible to compare the similarity between the set of predicted events and the set of ground-truth events. By directly minimizing Hausdorff distance, the model is trained towards the global optimum directly, which improves performance and reduces training time.",,https://github.com/xnyuwg/procnet,2 citations,,,,"@inproceedings{wang-etal-2023-document,
    title = ""Document-Level Multi-Event Extraction with Event Proxy Nodes and Hausdorff Distance Minimization"",
    author = ""Wang, Xinyu  and
      Gui, Lin  and
      He, Yulan"",
    booktitle = ""Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)"",
    month = jul,
    year = ""2023"",
    address = ""Toronto, Canada"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2023.acl-long.563"",
    pages = ""10118--10133"",
}",https://aclanthology.org/2023.acl-long.563.pdf
24,Xinyu Wang,construction-modellingmodification (CMM),"Resources for the paper: ""A Scalable Framework for Table of Contents Extraction from Complex ESG Annual Reports""

A framework for Toc extraction, consisting of three steps: (1) Constructing an initial tree of text blocks based on reading order and font sizes; (2) Modelling each tree node (or text block) independently by considering its contextual information captured in node-centric subtree; (3) Modifying the original tree by taking appropriate action on each tree node (Keep, Delete, or Move). This construction-modellingmodification (CMM) process offers several benefits. It eliminates the need for pairwise modelling of section headings as in previous approaches, making document segmentation practically feasible. By incorporating structured information, each section heading can leverage both local and long-distance context relevant to itself.",,https://github.com/xnyuwg/cmm,1 citations,ESG dataset,"An ESG dataset comprises 1,093 publicly available ESG annual reports, sourced from 563 distinct
companies, and spans the period from 2001 to 2022.
The reports vary in length, ranging from 4 pages to
521 pages, with an average of 72 pages.",https://github.com/xnyuwg/cmm,"@inproceedings{wang-etal-2023-scalable,
    title = ""A Scalable Framework for Table of Contents Extraction from Complex ESG Annual Reports"",
    author = ""Wang, Xinyu  and
      Gui, Lin  and
      He, Yulan"",
    booktitle = ""Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing"",
    month = dec,
    year = ""2023"",
    address = ""Singapore"",
    publisher = ""Association for Computational Linguistics"",
}",https://aclanthology.org/2023.emnlp-main.816.pdf
25,Yuxiang Zhou,DIVA architecture,"- DIVA -- Disentangling Interaction of VAriables framework  for causal inference

A framework tailored to mitigate the bias issue by unveiling interactions between different variables to disentangle the non-confounding covariates when estimating causal effects from text.",,https://github.com/zyxnlp/DIVA?tab=readme-ov-file,1 star,DIVA Dataset,"Semi-synthetic data were constructed for estimating causal effects from observational textual data. We collected transcripts from companies across twelve different sectors for earnings calls held between May 2001 and October 2019. The dataset was constructed to analyze two distinct treatment variables—political risk and sentiment—under two separate scenarios: stock volatility and stock movement. We split the dataset into training, validation, and test sets in an 8:1:6 ratio.",https://drive.google.com/file/d/1Cphjnh1VGnTeA76hWohOG1RfeQLT1BLH/view,"@inproceedings{zhou2023causal,
 title={Causal Inference from Text: Unveiling Interactions between Variables},
 author={Zhou, Yuxiang and He, Yulan},
 booktitle={Findings of EMNLP},
 year={2023},
 url={https://arxiv.org/pdf/2311.05286.pdf}
}",https://arxiv.org/pdf/2311.05286.pdf
26,Hanqi Yan,"Transformation based Adaptation for
Ratio bAlanced (TARA)","Repository for the paper ""Distinguishability Calibration to In-Context Learning"" appear in EACL 2023-findings.                                                                                                        Token uniformity/Information difussion issue is still observed in in-context learning, we proposed an adaptor for more discriminative representation learning and improved performance is observed in fine-grained text classification tasks.",,https://github.com/donttal/TARA,"2 citations, 4 stars, 1 forks",,,,"@inproceedings{li-etal-2023-distinguishability,
    title = ""Distinguishability Calibration to In-Context Learning"",
    author = ""Li, Hongjing  and
      Yan, Hanqi  and
      Li, Yanran  and
      Qian, Li  and
      He, Yulan  and
      Gui, Lin"",
    editor = ""Vlachos, Andreas  and
      Augenstein, Isabelle"",
    booktitle = ""Findings of the Association for Computational Linguistics: EACL 2023"",
    month = may,
    year = ""2023"",
    address = ""Dubrovnik, Croatia"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2023.findings-eacl.102"",
    doi = ""10.18653/v1/2023.findings-eacl.102"",
    pages = ""1385--1397"",
    abstract = ""Recent years have witnessed increasing interests in prompt-based learning in which models can be trained on only a few annotated instances, making them suitable in low-resource settings. It is even challenging in fine-grained classification as the pre-trained language models tend to generate similar output embedding which makes it difficult to discriminate for the prompt-based classifier. In this work, we alleviate this information diffusion issue by proposing a calibration method based on a transformation which rotates the embedding feature into a new metric space where we adapt the ratio of each dimension to a uniform distribution to guarantee the distinguishability of learned embeddings. Furthermore, we take the advantage of hyperbolic embedding to capture the relation between dimensions by a coarse-fine metric learning strategy to enhance interpretability. Extensive experiments on the three datasets under various settings demonstrate the effectiveness of our approach."",
}",https://arxiv.org/abs/2302.06198
27,Hanqi Yan,Geometric InformAtioN boTtleneck (GIANT),"Repository for the paper ""Explainable Recommender with Geometric Information Bottleneck"" appear in TKDE 2024.                                                                                                  To ease the humman annotation for rationales in Recommender, a prior from user-item interactions is incorporated into the textual latent factors for explaination generation.",,N/A,1 citations,,,,"@article{yan2024explainable,
  title={Explainable Recommender with Geometric Information Bottleneck},
  author={Yan, Hanqi and Gui, Lin and Wang, Menghan and Zhang, Kun and He, Yulan},
  journal={IEEE Transactions on Knowledge and Data Engineering},
  year={2024},
  publisher={IEEE}
}",https://arxiv.org/abs/2305.05331
28,Hanqi Yan,"Counterfactual Generation with Identifiability
Guarantees","Repository for the paper ""Counterfactual Generation with Identifiability Guarantees"" appear in Neurips 2023.                                                                                                        Provide Identification guarantees for successful disentanglement of the content and style variables, further supports the intervention of latent attributes of the text. This principled representations can shed light on the constrained, i.e., safe and moral generation for large language models with noisy pertaining data.",,https://github.com/hanqi-qi/Matte_Multi-domain-Counterfactual-Generation-with-identifiability-guarantee.git,"1 citations, 2 star",,,,"@inproceedings{
yan2023counterfactual,
title={Counterfactual Generation with Identifiability Guarantees},
author={Hanqi Yan and Lingjing Kong and Lin Gui and Yuejie Chi and Eric Xing and Yulan He and Kun Zhang},
booktitle={Thirty-seventh Conference on Neural Information Processing Systems},
year={2023},
url={https://openreview.net/forum?id=cslnCXE9XA}
}
",https://openreview.net/pdf?id=cslnCXE9XA
